Samples	SampleID	FieldID	samples	Location	LocationAb	LocationIDMERGE	LocationID	time	subject	Date_Taken	Sample_Type	Soil_Test_Number	PlantA_Or_B	Notes	GA_Microbiome	Living_Mulch	Endophyte	R1_Fastq_Name	R2_Fastq_Name	reads	Growing_Degree_Days	GPSlatitude	GPSlongitude	Living_Mulch_Treatment	Lime_Buffer_Capacity	pH	Water_pH	Base_Saturation_perc	Cation_Exchange_Capacity	Ca_ppm	Cd_ppm	Cr_ppm	Cu_ppm	Fe_ppm	K_ppm	Mg_ppm	Mn_ppm	Mo_ppm	Na_ppm	Ni_ppm	P_ppm	Pb_ppm	Zn_ppm	Organic_Matter_perc	N_perc	Plate	Row	Column	Well	quant_reading	Sample_or_Control	precipIntensity	precipProbability	temperatureHigh	temperatureLow	dewPoint	humidity	windSpeed	uvIndex
Sample227	GA18-5Zb-600-S182	GA18-5Z	227	Arlington	ARL	GA18-5Z_ARL	GA18-5Z_ARL-p2	p2	S16	43222	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-5Zb-600_S182_L001_R1_001.fastq.gz	GA18-5Zb-600_S182_L001_R2_001.fastq.gz	34088	600	31.417807	-84.67116	NA	165	5.25	5.85	67.1	2.92	321	0.02	0.02	1.07	7.07	58.5	20.6	13.9	0.02	6.23	0.63	33.27	0.15	2.54	0.73	0.02	5	H	3	H3	134.75	Sample	0.004491525	0.241016949	80.17237288	59.71355932	59.14	0.748813559	3.836101695	8.305084746
Sample228	GA18-6Ra-600-S194	GA18-6R	228	Tifton-Irrigated	TII	GA18-6R_TII	GA18-6R_TII-p1	p1	S15	43227	Root	NA	a		TRUE	FALSE	FALSE	GA18-6Ra-600_S194_L001_R1_001.fastq.gz	GA18-6Ra-600_S194_L001_R2_001.fastq.gz	27353	600	31.48767	-83.52064	NA	186	4.88	5.48	57.9	3.57	308	0.05	0.07	0.35	44.92	97.1	29.8	6.1	0.02	6.3	0.83	46.09	1.1	4.4	1	0.08	6	A	3	A3	138.6666667	Sample	0.003	0.261147541	81.60737705	61.94606557	61.25655738	0.755245902	4.001311475	8.327868853
Sample229	GA18-6Rb-1400-S255	GA18-6R	229	Tifton-Irrigated	TII	GA18-6R_TII	GA18-6R_TII-p2	p2	S15	43258	Root	NA	b		TRUE	FALSE	FALSE	GA18-6Rb-1400_S255_L001_R1_001.fastq.gz	GA18-6Rb-1400_S255_L001_R2_001.fastq.gz	22537	1400	31.48767	-83.520707	NA	180	4.66	5.26	54.1	3.59	299	0.05	0.05	0.3	36.91	72.3	28	10.96	0.02	6.53	0.68	44.9	0.95	4.33	0.96	0.03	6	G	4	G4	37.76666667	Sample	0.003	0.261147541	81.60737705	61.94606557	61.25655738	0.755245902	4.001311475	8.327868853
Sample230	GA18-6Rb-600-S241	GA18-6R	230	Tifton-Irrigated	TII	GA18-6R_TII	GA18-6R_TII-p2	p2	S15	43227	Root	NA	b		TRUE	FALSE	FALSE	GA18-6Rb-600_S241_L001_R1_001.fastq.gz	GA18-6Rb-600_S241_L001_R2_001.fastq.gz	16376	600	31.48767	-83.52064	NA	186	4.88	5.48	57.9	3.57	308	0.05	0.07	0.35	44.92	97.1	29.8	6.1	0.02	6.3	0.83	46.09	1.1	4.4	1	0.08	6	E	2	E2	62.1	Sample	0.003	0.261147541	81.60737705	61.94606557	61.25655738	0.755245902	4.001311475	8.327868853
Sample231	GA18-6S-600-S106	GA18-6S	231	Tifton-Irrigated	TII	GA18-6S_TII		p1		43227	Soil	14			TRUE	FALSE	FALSE	GA18-6S-600_S106_L001_R1_001.fastq.gz	GA18-6S-600_S106_L001_R2_001.fastq.gz	36792	600	31.48767	-83.52064	NA	186	4.88	5.48	57.9	3.57	308	0.05	0.07	0.35	44.92	97.1	29.8	6.1	0.02	6.3	0.83	46.09	1.1	4.4	1	0.08	5	A	10	A10	84.43333333	Sample	0.003	0.261147541	81.60737705	61.94606557	61.25655738	0.755245902	4.001311475	8.327868853
Sample232	GA18-6Za-1400-S35	GA18-6Z	232	Tifton-Irrigated	TII	GA18-6Z_TII	GA18-6Z_TII-p1	p1	S17	43258	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-6Za-1400_S35_L001_R1_001.fastq.gz	GA18-6Za-1400_S35_L001_R2_001.fastq.gz	75448	1400	31.48767	-83.520707	NA	180	4.66	5.26	54.1	3.59	299	0.05	0.05	0.3	36.91	72.3	28	10.96	0.02	6.53	0.68	44.9	0.95	4.33	0.96	0.03	4	C	11	C11	588.3333333	Sample	0.003	0.261147541	81.60737705	61.94606557	61.25655738	0.755245902	4.001311475	8.327868853
Sample233	GA18-6Za-600-S6	GA18-6Z	233	Tifton-Irrigated	TII	GA18-6Z_TII	GA18-6Z_TII-p1	p1	S17	43227	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-6Za-600_S6_L001_R1_001.fastq.gz	GA18-6Za-600_S6_L001_R2_001.fastq.gz	93994	600	31.48767	-83.52064	NA	186	4.88	5.48	57.9	3.57	308	0.05	0.07	0.35	44.92	97.1	29.8	6.1	0.02	6.3	0.83	46.09	1.1	4.4	1	0.08	4	A	6	A6	412.6666667	Sample	0.003	0.261147541	81.60737705	61.94606557	61.25655738	0.755245902	4.001311475	8.327868853
Sample234	GA18-6Zb-1400-S42	GA18-6Z	234	Tifton-Irrigated	TII	GA18-6Z_TII	GA18-6Z_TII-p2	p2	S17	43258	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-6Zb-1400_S42_L001_R1_001.fastq.gz	GA18-6Zb-1400_S42_L001_R2_001.fastq.gz	122592	1400	31.48767	-83.520707	NA	180	4.66	5.26	54.1	3.59	299	0.05	0.05	0.3	36.91	72.3	28	10.96	0.02	6.53	0.68	44.9	0.95	4.33	0.96	0.03	4	D	6	D6	142.6666667	Sample	0.003	0.261147541	81.60737705	61.94606557	61.25655738	0.755245902	4.001311475	8.327868853
Sample235	GA18-6Zb-600-S75	GA18-6Z	235	Tifton-Irrigated	TII	GA18-6Z_TII	GA18-6Z_TII-p2	p2	S17	43227	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-6Zb-600_S75_L001_R1_001.fastq.gz	GA18-6Zb-600_S75_L001_R2_001.fastq.gz	70915	600	31.48767	-83.52064	NA	186	4.88	5.48	57.9	3.57	308	0.05	0.07	0.35	44.92	97.1	29.8	6.1	0.02	6.3	0.83	46.09	1.1	4.4	1	0.08	4	G	3	G3	398	Sample	0.003	0.261147541	81.60737705	61.94606557	61.25655738	0.755245902	4.001311475	8.327868853
Sample236	GA18-7Ra-1400-S212	GA18-7R	236	Tifton-Dryland	TID	GA18-7R_TID	GA18-7R_TID-p1	p1	S16	43258	Root	NA	a		TRUE	FALSE	FALSE	GA18-7Ra-1400_S212_L001_R1_001.fastq.gz	GA18-7Ra-1400_S212_L001_R2_001.fastq.gz	18355	1400	31.522255	-83.550327	NA	160	4.61	5.21	36.5	2.25	131	0.02	0.02	0.29	14.88	22.7	10.6	5.87	0.02	4	0.39	19.2	0.43	1.74	0.58	0.02	6	B	9	B9	128	Sample	0.002557377	0.238688525	81.72737705	62.06245902	61.28327869	0.752622951	3.991967213	8.327868853
Sample237	GA18-7Ra-600-S238	GA18-7R	237	Tifton-Dryland	TID	GA18-7R_TID	GA18-7R_TID-p1	p1	S16	43227	Root	NA	a		TRUE	FALSE	FALSE	GA18-7Ra-600_S238_L001_R1_001.fastq.gz	GA18-7Ra-600_S238_L001_R2_001.fastq.gz	8	600	31.522279	-83.550443	NA	160	4.61	5.21	36.5	2.25	131	0.02	0.02	0.29	14.88	22.7	10.6	5.87	0.02	4	0.39	19.2	0.43	1.74	0.58	0.02	6	D	11	D11	99.06666667	Sample	0.002557377	0.238688525	81.72737705	62.06245902	61.28327869	0.752622951	3.991967213	8.327868853
Sample238	GA18-7Rb-1400-S258	GA18-7R	238	Tifton-Dryland	TID	GA18-7R_TID	GA18-7R_TID-p2	p2	S16	43258	Root	NA	b		TRUE	FALSE	FALSE	GA18-7Rb-1400_S258_L001_R1_001.fastq.gz	GA18-7Rb-1400_S258_L001_R2_001.fastq.gz	12706	1400	31.522255	-83.550327	NA	160	4.61	5.21	36.5	2.25	131	0.02	0.02	0.29	14.88	22.7	10.6	5.87	0.02	4	0.39	19.2	0.43	1.74	0.58	0.02	6	G	7	G7	102.9666667	Sample	0.002557377	0.238688525	81.72737705	62.06245902	61.28327869	0.752622951	3.991967213	8.327868853
Sample239	GA18-7Rb-600-S198	GA18-7R	239	Tifton-Dryland	TID	GA18-7R_TID	GA18-7R_TID-p2	p2	S16	43227	Root	NA	b		TRUE	FALSE	FALSE	GA18-7Rb-600_S198_L001_R1_001.fastq.gz	GA18-7Rb-600_S198_L001_R2_001.fastq.gz	24679	600	31.522279	-83.550443	NA	160	4.61	5.21	36.5	2.25	131	0.02	0.02	0.29	14.88	22.7	10.6	5.87	0.02	4	0.39	19.2	0.43	1.74	0.58	0.02	6	A	7	A7	74.1	Sample	0.002557377	0.238688525	81.72737705	62.06245902	61.28327869	0.752622951	3.991967213	8.327868853
Sample240	GA18-7S-1400-S175	GA18-7S	240	Tifton-Dryland	TID	GA18-7S_TID		p1		43258	Soil	81			TRUE	FALSE	FALSE	GA18-7S-1400_S175_L001_R1_001.fastq.gz	GA18-7S-1400_S175_L001_R2_001.fastq.gz	35046	1400	31.522255	-83.550327	NA	160	4.61	5.21	36.5	2.25	131	0.02	0.02	0.29	14.88	22.7	10.6	5.87	0.02	4	0.39	19.2	0.43	1.74	0.58	0.02	5	G	8	G8	214	Sample	0.002557377	0.238688525	81.72737705	62.06245902	61.28327869	0.752622951	3.991967213	8.327868853
Sample241	GA18-7Za-1400-S144	GA18-7Z	241	Tifton-Dryland	TID	GA18-7Z_TID	GA18-7Z_TID-p1	p1	S17	43258	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-7Za-1400_S144_L001_R1_001.fastq.gz	GA18-7Za-1400_S144_L001_R2_001.fastq.gz	62850	1400	31.522255	-83.550327	NA	160	4.61	5.21	36.5	2.25	131	0.02	0.02	0.29	14.88	22.7	10.6	5.87	0.02	4	0.39	19.2	0.43	1.74	0.58	0.02	5	E	1	E1	62.16666667	Sample	0.002557377	0.238688525	81.72737705	62.06245902	61.28327869	0.752622951	3.991967213	8.327868853
Sample242	GA18-7Za-600-S133	GA18-7Z	242	Tifton-Dryland	TID	GA18-7Z_TID	GA18-7Z_TID-p1	p1	S17	43227	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-7Za-600_S133_L001_R1_001.fastq.gz	GA18-7Za-600_S133_L001_R2_001.fastq.gz	39928	600	31.522279	-83.550443	NA	160	4.61	5.21	36.5	2.25	131	0.02	0.02	0.29	14.88	22.7	10.6	5.87	0.02	4	0.39	19.2	0.43	1.74	0.58	0.02	5	D	2	D2	72.03333333	Sample	0.002557377	0.238688525	81.72737705	62.06245902	61.28327869	0.752622951	3.991967213	8.327868853
Sample243	GA18-7Zb-1400-S58	GA18-7Z	243	Tifton-Dryland	TID	GA18-7Z_TID	GA18-7Z_TID-p2	p2	S17	43258	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-7Zb-1400_S58_L001_R1_001.fastq.gz	GA18-7Zb-1400_S58_L001_R2_001.fastq.gz	49295	1400	31.522255	-83.550327	NA	160	4.61	5.21	36.5	2.25	131	0.02	0.02	0.29	14.88	22.7	10.6	5.87	0.02	4	0.39	19.2	0.43	1.74	0.58	0.02	4	E	10	E10	332	Sample	0.002557377	0.238688525	81.72737705	62.06245902	61.28327869	0.752622951	3.991967213	8.327868853
Sample244	GA18-7Zb-600-S23	GA18-7Z	244	Tifton-Dryland	TID	GA18-7Z_TID	GA18-7Z_TID-p2	p2	S17	43227	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-7Zb-600_S23_L001_R1_001.fastq.gz	GA18-7Zb-600_S23_L001_R2_001.fastq.gz	88381	600	31.522279	-83.550443	NA	160	4.61	5.21	36.5	2.25	131	0.02	0.02	0.29	14.88	22.7	10.6	5.87	0.02	4	0.39	19.2	0.43	1.74	0.58	0.02	4	B	11	B11	304.3333333	Sample	0.002557377	0.238688525	81.72737705	62.06245902	61.28327869	0.752622951	3.991967213	8.327868853
Sample245	GA18-8Ra-1400-S274	GA18-8R	245	Wadley	WAD	GA18-8R_WAD	GA18-8R_WAD-p1	p1	S17	43258	Root	NA	a		TRUE	FALSE	FALSE	GA18-8Ra-1400_S274_L001_R1_001.fastq.gz	GA18-8Ra-1400_S274_L001_R2_001.fastq.gz	17661	1400	32.960066	-82.550327	NA	434	6.06	6.66	92.1	10.78	1222	0.06	0.1	0.31	28.14	175.9	399.7	11.74	0.025	5.99	1.47	115.9	0.58	8.48	4.13	0.19	6	H	11	H11	127.6	Sample	0.003618033	0.356885246	80.95229508	58.69606557	58.73262295	0.744098361	3.482786885	7.967213115
Sample246	GA18-8Ra-600-S199	GA18-8R	246	Wadley	WAD	GA18-8R_WAD	GA18-8R_WAD-p1	p1	S17	43227	Root	NA	a		TRUE	FALSE	FALSE	GA18-8Ra-600_S199_L001_R1_001.fastq.gz	GA18-8Ra-600_S199_L001_R2_001.fastq.gz	20666	600	32.960089	-82.416937	NA	245	6.16	6.76	94.7	6.39	770	0.02	0.09	0.29	33.16	168.8	208.3	5.3	0.02	6.93	2.28	40.37	0.66	4.27	3.29	0.17	6	A	8	A8	123.1	Sample	0.003618033	0.356885246	80.95229508	58.69606557	58.73262295	0.744098361	3.482786885	7.967213115
Sample247	GA18-8Rb-1400-S231	GA18-8R	247	Wadley	WAD	GA18-8R_WAD	GA18-8R_WAD-p2	p2	S17	43258	Root	NA	b		TRUE	FALSE	FALSE	GA18-8Rb-1400_S231_L001_R1_001.fastq.gz	GA18-8Rb-1400_S231_L001_R2_001.fastq.gz	16481	1400	32.960066	-82.550327	NA	434	6.06	6.66	92.1	10.78	1222	0.06	0.1	0.31	28.14	175.9	399.7	11.74	0.025	5.99	1.47	115.9	0.58	8.48	4.13	0.19	6	D	4	D4	81.06666667	Sample	0.003618033	0.356885246	80.95229508	58.69606557	58.73262295	0.744098361	3.482786885	7.967213115
Sample248	GA18-8repBS-600-S191	GA18-8r	248	Wadley	WAD	GA18-8r_WAD		p1		43227	Soil	16		A_second_rep_of_the_soil_at_this_location_was_taken	TRUE	FALSE	FALSE	GA18-8repBS-600_S191_L001_R1_001.fastq.gz	GA18-8repBS-600_S191_L001_R2_001.fastq.gz	31704	600	32.960089	-82.416937	NA	245	6.16	6.76	94.7	6.39	770	0.02	0.09	0.29	33.16	168.8	208.3	5.3	0.02	6.93	2.28	40.37	0.66	4.27	3.29	0.17	5	H	12	H12	293.6666667	Sample	0.003618033	0.356885246	80.95229508	58.69606557	58.73262295	0.744098361	3.482786885	7.967213115
Sample249	GA18-8S-1400-S154	GA18-8S	249	Wadley	WAD	GA18-8S_WAD		p1		43258	Soil	82			TRUE	FALSE	FALSE	GA18-8S-1400_S154_L001_R1_001.fastq.gz	GA18-8S-1400_S154_L001_R2_001.fastq.gz	46759	1400	32.960066	-82.550327	NA	434	6.06	6.66	92.1	10.78	1222	0.06	0.1	0.31	28.14	175.9	399.7	11.74	0.025	5.99	1.47	115.9	0.58	8.48	4.13	0.19	5	E	11	E11	160	Sample	0.003618033	0.356885246	80.95229508	58.69606557	58.73262295	0.744098361	3.482786885	7.967213115
Sample250	GA18-8Za-1400-S168	GA18-8Z	250	Wadley	WAD	GA18-8Z_WAD	GA18-8Z_WAD-p1	p1	S18	43258	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-8Za-1400_S168_L001_R1_001.fastq.gz	GA18-8Za-1400_S168_L001_R2_001.fastq.gz	50213	1400	32.960066	-82.550327	NA	434	6.06	6.66	92.1	10.78	1222	0.06	0.1	0.31	28.14	175.9	399.7	11.74	0.025	5.99	1.47	115.9	0.58	8.48	4.13	0.19	5	G	1	G1	159	Sample	0.003618033	0.356885246	80.95229508	58.69606557	58.73262295	0.744098361	3.482786885	7.967213115
Sample251	GA18-8Za-600-S46	GA18-8Z	251	Wadley	WAD	GA18-8Z_WAD	GA18-8Z_WAD-p1	p1	S18	43227	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-8Za-600_S46_L001_R1_001.fastq.gz	GA18-8Za-600_S46_L001_R2_001.fastq.gz	69081	600	32.960089	-82.416937	NA	245	6.16	6.76	94.7	6.39	770	0.02	0.09	0.29	33.16	168.8	208.3	5.3	0.02	6.93	2.28	40.37	0.66	4.27	3.29	0.17	4	D	10	D10	534.3333333	Sample	0.003618033	0.356885246	80.95229508	58.69606557	58.73262295	0.744098361	3.482786885	7.967213115
Sample252	GA18-8Zb-1400-S7	GA18-8Z	252	Wadley	WAD	GA18-8Z_WAD	GA18-8Z_WAD-p2	p2	S18	43258	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-8Zb-1400_S7_L001_R1_001.fastq.gz	GA18-8Zb-1400_S7_L001_R2_001.fastq.gz	84586	1400	32.960066	-82.550327	NA	434	6.06	6.66	92.1	10.78	1222	0.06	0.1	0.31	28.14	175.9	399.7	11.74	0.025	5.99	1.47	115.9	0.58	8.48	4.13	0.19	4	A	7	A7	546.6666667	Sample	0.003618033	0.356885246	80.95229508	58.69606557	58.73262295	0.744098361	3.482786885	7.967213115
Sample253	GA18-8Zb-600-S76	GA18-8Z	253	Wadley	WAD	GA18-8Z_WAD	GA18-8Z_WAD-p2	p2	S18	43227	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-8Zb-600_S76_L001_R1_001.fastq.gz	GA18-8Zb-600_S76_L001_R2_001.fastq.gz	82137	600	32.960089	-82.416937	NA	245	6.16	6.76	94.7	6.39	770	0.02	0.09	0.29	33.16	168.8	208.3	5.3	0.02	6.93	2.28	40.37	0.66	4.27	3.29	0.17	4	G	4	G4	282	Sample	0.003618033	0.356885246	80.95229508	58.69606557	58.73262295	0.744098361	3.482786885	7.967213115
Sample254	GA18-10I-1400-S178	GA1810I	254	Midville	MID	GA1810I_MID				43258	Inrow_Soil	75			TRUE	FALSE	FALSE	GA1810I1400_S178_L001_R1_001.fastq.gz	GA1810I1400_S178_L001_R2_001.fastq.gz	103912	1400	32.87781	-82.216909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	G	10	G10	130	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample255	GA18-10I-600-S131	GA1810I	255	Midville	MID	GA1810I_MID				43227	Inrow_Soil	25		_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA1810I600_S131_L001_R1_001.fastq.gz	GA1810I600_S131_L001_R2_001.fastq.gz	107707	600	32.877808	-82.216916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	C	11	C11	70.16666667	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample256	GA18-10Ka-1400-S16	GA1810K	256	Midville	MID	GA1810K_MID	GA1810K_MID-p1	p1	S19	43258	Stalk	NA	a		TRUE	FALSE	FALSE	GA1810Ka1400_S16_L001_R1_001.fastq.gz	GA1810Ka1400_S16_L001_R2_001.fastq.gz	7602	1400	32.87781	-82.216909	NA	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	1	B	4	B4	139.6666667	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample257	GA18-10Ka-600-S42	GA1810K	257	Midville	MID	GA1810K_MID	GA1810K_MID-p1	p1	S19	43227	Stalk	NA	a	_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA1810Ka600_S42_L001_R1_001.fastq.gz	GA1810Ka600_S42_L001_R2_001.fastq.gz	22520	600	32.877808	-82.216916	NA	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	1	D	6	D6	50.56666667	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample258	GA18-10Kb-1400-S28	GA1810K	258	Midville	MID	GA1810K_MID	GA1810K_MID-p2	p2	S19	43258	Stalk	NA	b		TRUE	FALSE	FALSE	GA1810Kb1400_S28_L001_R1_001.fastq.gz	GA1810Kb1400_S28_L001_R2_001.fastq.gz	6927	1400	32.87781	-82.216909	NA	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	1	C	4	C4	100.6666667	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample259	GA18-10Kb-600-S78	GA1810K	259	Midville	MID	GA1810K_MID	GA1810K_MID-p2	p2	S19	43227	Stalk	NA	b	_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA1810Kb600_S78_L001_R1_001.fastq.gz	GA1810Kb600_S78_L001_R2_001.fastq.gz	16489	600	32.877808	-82.216916	NA	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	1	G	6	G6	48.8	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample260	GA18-10S-1400-S115	GA1810S	260	Midville	MID	GA1810S_MID		p2		43258	Soil	83			TRUE	FALSE	FALSE	GA1810S1400_S115_L001_R1_001.fastq.gz	GA1810S1400_S115_L001_R2_001.fastq.gz	122302	1400	32.87781	-82.216909	NA	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	2	B	7	B7	65.93333333	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample261	GA18-11I-1400-S190	GA1811I	261	Fort_Valley	FV	GA1811I_FV				43258	Inrow_Soil	76			TRUE	FALSE	FALSE	GA1811I1400_S190_L001_R1_001.fastq.gz	GA1811I1400_S190_L001_R2_001.fastq.gz	165379	1400	32.50154	-83.945516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	H	10	H10	90.93333333	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample262	GA18-11Ka-1400-S76	GA1811K	262	Fort_Valley	FV	GA1811K_FV	GA1811K_FV-p1	p1	S1	43258	Stalk	NA	a		TRUE	FALSE	FALSE	GA1811Ka1400_S76_L001_R1_001.fastq.gz	GA1811Ka1400_S76_L001_R2_001.fastq.gz	15781	1400	32.50154	-83.945516	NA	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	1	G	4	G4	98.43333333	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample263	GA18-11Ka-600-S19	GA1811K	263	Fort_Valley	FV	GA1811K_FV	GA1811K_FV-p1	p1	S1	43227	Stalk	NA	a		TRUE	FALSE	FALSE	GA1811Ka600_S19_L001_R1_001.fastq.gz	GA1811Ka600_S19_L001_R2_001.fastq.gz	22183	600	32.501536	-83.9455	NA	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	1	B	7	B7	60.13333333	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample264	GA18-11Kb-1400-S41	GA1811K	264	Fort_Valley	FV	GA1811K_FV	GA1811K_FV-p2	p2	S1	43258	Stalk	NA	b		TRUE	FALSE	FALSE	GA1811Kb1400_S41_L001_R1_001.fastq.gz	GA1811Kb1400_S41_L001_R2_001.fastq.gz	13546	1400	32.50154	-83.945516	NA	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	1	D	5	D5	61.6	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample265	GA18-11Kb-600-S90	GA1811K	265	Fort_Valley	FV	GA1811K_FV	GA1811K_FV-p2	p2	S1	43227	Stalk	NA	b		TRUE	FALSE	FALSE	GA1811Kb600_S90_L001_R1_001.fastq.gz	GA1811Kb600_S90_L001_R2_001.fastq.gz	30008	600	32.501536	-83.9455	NA	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	1	H	6	H6	60.6	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample266	GA18-11S-600-S175	GA1811S	266	Fort_Valley	FV	GA1811S_FV		p2		43227	Soil	18			TRUE	FALSE	FALSE	GA1811S600_S175_L001_R1_001.fastq.gz	GA1811S600_S175_L001_R2_001.fastq.gz	133782	600	32.501536	-83.9455	NA	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	2	G	7	G7	126	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample267	GA18-12Ka-1400-S40	GA1812K	267	Plains_Production_corn	PPC	GA1812K_PPC	GA1812K_PPC-p1	p1	S2	43258	Stalk	NA	a		TRUE	FALSE	FALSE	GA1812Ka1400_S40_L001_R1_001.fastq.gz	GA1812Ka1400_S40_L001_R2_001.fastq.gz	8922	1400	32.035766	-84.375854	NA	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	1	D	4	D4	159.3333333	Sample	0.004391803	0.31295082	80.59114754	59.78934426	57.98409836	0.719508197	4.946393443	8.229508197
Sample268	GA18-12Ka-600-S54	GA1812K	268	Plains_Production_corn	PPC	GA1812K_PPC	GA1812K_PPC-p1	p1	S2	43227	Stalk	NA	a		TRUE	FALSE	FALSE	GA1812Ka600_S54_L001_R1_001.fastq.gz	GA1812Ka600_S54_L001_R2_001.fastq.gz	18826	600	32.035733	-84.375851	NA	280	5.94	6.54	85.9	5.31	558	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	1	E	6	E6	50.7	Sample	0.004391803	0.31295082	80.59114754	59.78934426	57.98409836	0.719508197	4.946393443	8.229508197
Sample269	GA18-12Kb-1400-S5	GA1812K	269	Plains_Production_corn	PPC	GA1812K_PPC	GA1812K_PPC-p2	p2	S2	43258	Stalk	NA	b		TRUE	FALSE	FALSE	GA1812Kb1400_S5_L001_R1_001.fastq.gz	GA1812Kb1400_S5_L001_R2_001.fastq.gz	15338	1400	32.035766	-84.375854	NA	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	1	A	5	A5	65.73333333	Sample	0.004391803	0.31295082	80.59114754	59.78934426	57.98409836	0.719508197	4.946393443	8.229508197
